objid ra dec u g r i z
1237667211061428385 172.322265888648 28.9741865067415 19.99154 20.28841 19.94332 20.04046 19.97846
1237667211061428378 172.318459020391 28.9717405257992 22.09181 20.11231 19.24692 19.0096 19.16342
1237667211061428408 172.322307430428 28.9730645844457 24.21317 21.98616 21.86651 22.14258 21.64997
1237667211061428421 172.320700096572 28.9758150448142 24.53474 22.93199 22.11592 22.18183 21.72565
1237667211061428369 172.319576528321 28.9781239897124 22.85737 18.8417 17.56184 17.06111 16.73265
1237667211061428372 172.315344946543 28.9731051922738 22.44495 19.83691 18.85068 18.49346 18.33501
1237667211061428374 172.323314807643 28.9734036428633 23.61734 25.11438 20.46212 21.41218 22.82689
1237667211061428380 172.32406806593 28.971738970816 22.77906 21.74073 19.61428 19.36951 19.79972
1237667211061428393 172.31892790484 28.9757472705032 24.44662 22.1596 22.60947 24.3618 20.70938
1237667211061428405 172.319525534017 28.9708336248019 22.86195 22.6545 22.24983 21.95412 22.20075
1237667211061428409 172.323430730526 28.9768796561455 23.7144 22.51537 21.62733 21.69326 21.80771
1237667211061428418 172.317850719018 28.9765473990969 22.1387 22.07075 22.36667 22.99691 22.9621
1237667211061428367 172.311255582852 28.9706811531397 21.46619 18.60226 17.36464 16.41996 15.92786
1237667211061428370 172.311677021376 28.9755759494066 21.84315 19.23744 18.24026 17.85192 17.56116
1237667211061428377 172.31500548576 28.9706346076396 23.92525 21.2906 19.51725 19.28551 19.69195
1237667211061428384 172.327092918588 28.9776415746297 22.81434 20.87427 19.79586 19.43592 19.34577
1237667211061428388 172.320024779007 28.9787252676754 22.1321 25.1144 24.80205 20.96604 22.82697
1237667211061428391 172.316217218445 28.9820016730131 22.63603 20.83678 20.15133 19.95753 19.75794
1237667211061428404 172.312598651874 28.9761334582548 24.6176 22.2797 21.53591 21.48978 22.51971
1237667211061428411 172.313239158809 28.9696206961328 24.78803 22.57282 22.08177 21.71985 22.04507
1237667253474099320 172.32143243202 28.9664477344688 22.44163 18.57232 17.3929 16.83785 16.52387
1237667253474099360 172.323822727416 28.9658594206754 25.37011 23.23815 22.74065 24.82684 21.22874
1237667211061428373 172.307557636161 28.9778542561515 21.94275 19.86314 19.10278 18.8196 18.61157
1237667211061428383 172.308422913104 28.9792264070169 22.52035 20.20598 19.38873 19.13218 18.92259
