objid ra dec u g r i z
1237665328788668858 211.428925899908 28.5209095332385 21.41786 20.22363 20.00695 19.95647 20.01489
1237665328788668857 211.430664418851 28.5223615690241 20.50214 19.52725 19.20353 19.0867 19.12611
1237665328788668859 211.430545953952 28.5200857766202 22.48014 21.71463 21.27583 20.82744 20.57005
1237665328788668861 211.430869340724 28.5183584351329 25.21232 22.19516 21.82161 21.56993 21.6859
1237665328788669382 211.3198531162 28.4872347585446 21.43353 20.31972 20.01566 19.97632 19.97885
1237665328788669553 211.427676050599 28.5124726409707 21.65023 20.94516 20.56749 20.41019 20.78335
1237665328788668862 211.432868401268 28.5203625740272 24.19368 22.38071 22.90317 22.83446 22.72117
1237665328788669554 211.429352466646 28.5104917822812 23.15268 21.29369 21.06341 20.9907 20.8105
1237665328788669555 211.429482665244 28.5116207021787 24.28703 22.24194 22.02857 21.5518 22.21732
1237665328788669560 211.434419673558 28.5306065086422 22.304 21.00814 20.73523 20.6994 20.50725
1237665328788733965 211.434916549101 28.525755582739 22.00802 24.11687 23.42122 21.07845 21.84238
1237665328788734234 211.433435619507 28.5155437332768 21.13244 19.97491 19.78884 19.72584 19.71715
1237665328788734237 211.432939445733 28.5164224073553 22.30073 21.52738 20.9958 21.04278 22.28906
1237665328788669005 211.299903815944 28.4997078627114 20.68408 19.78872 19.56158 19.45547 19.34888
1237665328788669380 211.315649572258 28.4833669391536 24.73757 24.53101 24.02697 23.49439 22.09645
1237665328788669742 211.307933181458 28.4928777023625 23.01052 21.8729 21.38403 21.15282 21.31889
1237665328788669840 211.40305837471 28.5913828685395 22.8229 21.70168 21.29689 21.15337 21.13857
1237665328788669857 211.417046239248 28.5815151884044 23.46342 21.81717 21.53237 21.15672 21.94353
1237665328788733957 211.435514764127 28.5204078705194 16.92643 15.09935 14.30131 13.97454 13.79713
1237665328788733968 211.436728558225 28.5271177601032 23.80342 22.20949 21.49534 21.72622 21.46788
1237665328788733974 211.436516494205 28.5250824565934 24.22354 22.10069 21.67769 21.70055 22.10573
