objid ra dec u g r i z
1237654670273085500 151.378944855248 0.07006794044306 23.83448 22.3903 22.02267 21.43569 21.26114
1237654670273085456 151.376850286227 0.0697434779248609 20.68421 18.51534 17.62732 17.28599 17.12752
1237654670273085457 151.381493800279 0.0713168439207509 21.124 18.8148 17.83347 17.44802 17.22013
1237654670273085496 151.38167982842 0.0700042493504657 22.84465 22.08946 21.69196 21.28668 22.11489
1237654670273085518 151.378313606635 0.0732821546603296 23.53086 23.15034 22.22371 21.95077 22.02878
1237654670273085458 151.378323355334 0.0672669552801302 21.23172 19.01398 18.10737 17.73281 17.51801
1237654670273085463 151.382663458761 0.0711859799371904 21.50411 19.7157 19.06075 18.73392 18.59529
1237654670273085475 151.382605287144 0.0736451708851219 22.76754 22.34672 24.80179 24.36184 19.78291
1237654670273085497 151.376465802939 0.0674327742063054 23.4361 22.12722 21.65971 21.37438 21.07473
1237654670273085501 151.375059172535 0.0694741754268764 22.95116 21.92356 21.93166 21.47664 21.79279
1237654670273085507 151.382077956261 0.0721016469739145 22.78949 22.11153 21.54624 21.65213 20.85762
1237654670273085508 151.37620058282 0.0686859279822501 23.18734 22.39007 22.07843 21.6752 21.75889
1237654670273085471 151.374831415808 0.067675090720975 21.74787 20.69601 20.04634 19.68652 19.72794
1237654670273085480 151.373473981005 0.0699055399027652 19.96873 19.50766 25.77925 25.12321 23.68585
1237654670273085487 151.37477395385 0.0744987374131579 23.77722 23.47987 21.2218 20.8464 21.88048
1237654670273085490 151.378680118457 0.0640955445052495 25.64765 22.01902 21.5212 21.12327 22.66745
1237654670273085493 151.383575743423 0.071236959266542 25.01914 22.07631 21.29962 21.10556 20.80028
1237654670273085509 151.384707827355 0.0725270138511947 23.32679 22.17735 21.71801 21.67482 21.83311
1237654670273085513 151.380471582883 0.0761570698674592 23.63299 23.03952 22.31391 21.84356 22.37078
1237654670273085523 151.383308687872 0.069138581517772 23.99309 22.52644 22.53629 21.95181 23.51019
1237654670273085526 151.384704868046 0.0681477252808482 24.61261 22.88294 22.12537 22.27883 21.30777
1237654670273085528 151.385140598877 0.0738092660761837 24.85475 22.86377 22.32578 22.1114 22.22601
1237654670273085453 151.369865392618 0.0669755756121216 17.12976 14.82444 13.5106 15.77661 13.03701
1237654670273085461 151.387786586884 0.0761654609642208 21.73927 19.71479 18.85345 18.54063 18.43165
1237654670273085462 151.386915592171 0.0766428854469032 21.63456 19.71972 19.018 18.71318 18.5745
