objid ra dec u g r i z
1237659330853863862 250.348648047084 36.5258684109339 19.47491 18.37087 18.01991 18.23018 18.15131
1237659330853863843 250.358165727266 36.5341262957183 18.83749 25.1144 24.80205 18.49426 22.82692
1237659330853863819 250.349070382381 36.529782641699 17.37732 16.02137 15.45772 15.18238 15.04561
1237659330853863884 250.392631133819 36.5536973242133 19.28958 18.26052 17.91132 17.85476 17.76515
1237659330853863886 250.360101465739 36.5371628789894 19.49809 18.49875 18.21811 18.15244 18.0637
1237655471822471533 250.374033712046 36.557570641934 19.43848 18.45726 18.16215 18.03531 18.06891
1237655471822471560 250.377351338626 36.5589314816664 19.70243 25.11439 24.80204 24.36182 22.82692
1237659330853863827 250.358171694255 36.5459277014939 18.28819 17.0309 16.48129 16.21902 16.08019
1237659330853863839 250.36706420493 36.5546058668062 17.56848 25.1144 24.80205 24.36182 22.82692
1237659330853863840 250.338389577016 36.5365865756106 18.36819 17.1353 16.66586 16.43927 16.28076
1237659330853863871 250.370338391791 36.5486152535124 19.39697 18.33562 17.92288 17.84157 17.69948
1237659330853863887 250.382471481747 36.5566696292014 19.56979 18.49492 18.17244 18.1463 17.98726
1237655471822471510 250.377566002927 36.5605455578475 18.27844 16.97833 16.46371 16.26464 16.16302
1237655471822471521 250.391696821912 36.5704913708599 18.70508 17.61439 17.18371 17.01556 16.949
1237655471822471527 250.393144899756 36.5676732382208 19.22177 18.22582 17.92006 17.77596 17.71389
1237655471822471529 250.386660610098 36.5707537804348 19.22676 18.20199 17.87312 17.73633 17.73544
1237655471822471550 250.38759875723 36.5723960669624 20.93161 19.03067 18.33471 18.08343 17.99759
1237655471822471555 250.399632359375 36.5715442271206 19.62314 18.67311 18.42509 18.32138 18.35275
1237659330853863820 250.346873527155 36.5490383483061 17.59474 16.24563 15.70315 15.45579 15.31486
1237659330853863824 250.355356891799 36.5599940393614 17.96768 16.5909 16.04879 15.78292 15.63163
1237659330853863829 250.33125538422 36.5455385061261 21.29347 17.93417 16.59838 16.03722 15.70749
1237659330853863834 250.406671615637 36.5729358111754 18.1428 16.95724 16.45757 16.23514 16.07852
1237659330853863844 250.407188938911 36.5671357787627 18.58207 17.38129 16.90662 16.71103 16.55272
1237659330853863860 250.33941614307 36.5424046876269 18.93043 18.36424 17.96387 17.86491 22.8269
1237659330853863865 250.39380653298 36.5632012971151 19.53671 18.21328 17.63665 17.44983 17.25031
1237659330853863876 250.335456436149 36.5394299006136 19.01923 18.84316 24.80205 24.36182 22.82692
1237659330853863885 250.4112701034 36.5672155545814 19.44306 18.84178 24.80206 24.36183 17.37862
1237655471822471502 250.363758782343 36.5658135240703 16.36038 15.42737 15.70282 15.91284 16.05221
1237655471822471503 250.362605606412 36.5660337768242 17.71875 16.35407 15.81592 15.58485 15.50163
1237655471822471506 250.362469565791 36.5700135278102 17.99621 16.70387 16.18271 15.96755 15.87396
1237655471822471508 250.39540570248 36.5759554187865 18.28839 16.79629 16.27549 16.09873 16.06516
1237655471822471511 250.393161225157 36.5814424069047 18.24321 16.98374 16.50076 16.25453 16.17233
1237655471822471518 250.373898089037 36.569626036856 19.12548 17.5494 16.98485 16.76758 16.6886
1237655471822471535 250.380638196764 36.5729564771382 19.39359 18.40898 18.14043 18.0584 18.08487
1237655471822471540 250.398724577877 36.5814838088887 19.44957 18.45617 18.2025 18.09173 18.12827
1237655471822471545 250.379371395996 36.5704955573426 19.47054 18.46455 18.32797 18.32504 18.4318
1237655471822471547 250.419915846575 36.5826537075625 19.52129 18.59831 18.36046 18.2412 18.56508
1237655471822471557 250.37221984617 36.5703465197216 19.81145 18.79034 18.56293 18.45436 18.49112
1237655471822471558 250.397922018106 36.5766836742103 19.57312 18.62096 18.38473 18.30685 18.33361
1237655471822472494 250.424996074534 36.5852358994602 19.94143 18.93524 18.67377 18.55369 18.61341
1237655471822473499 250.415634706036 36.5812281792179 22.78972 22.1245 21.46117 21.00169 20.86442
1237655471822473500 250.414089030753 36.5805035576644 23.67905 23.43457 22.68294 21.77133 21.85271
1237659330853863849 250.356744276006 36.5641483758967 24.63469 25.1144 24.80205 18.07682 22.82692
1237659330853863866 250.423881812646 36.5766813586095 19.14248 18.16233 17.8365 17.67096 17.50404
1237659330853863872 250.335665661146 36.5568193808578 19.25243 18.22461 17.84438 17.70564 17.61314
1237659330853863880 250.34298743658 36.5568057221473 19.37787 18.36244 18.02955 17.92732 17.81376
1237659330853864002 250.43179854187 36.5798274572764 22.6012 19.46676 18.33893 17.93879 17.68666
1237659330853864009 250.440964291672 36.583224432902 20.62205 19.76745 19.45902 19.40757 19.29004
1237659330853864017 250.432435632341 36.5791557142645 21.79281 20.74636 20.23789 20.16122 19.97479
1237659330853864038 250.437253478661 36.5826542636177 25.42468 23.80711 22.24828 22.28423 21.72943
1237659330853864873 250.429745826549 36.5838509644136 20.53435 19.68188 19.34093 19.29982 19.27236
1237659330853864875 250.427031685742 36.5846272363158 25.95543 22.95793 22.31556 21.05797 20.72985
1237659330853864876 250.428093119188 36.5850559942565 25.12017 23.43862 21.97662 21.51987 20.69411
1237659330853865202 250.425809537543 36.5808482537092 21.72248 20.63885 20.26729 20.13959 19.86801
1237659330853865203 250.426984365042 36.5802180042742 25.80963 22.11763 21.3016 21.12921 20.94777
1237659330853865856 250.429613396964 36.5764795595193 22.17354 21.11827 20.66154 20.46508 20.28729
1237655471822471501 250.399189520011 36.5860576586967 17.16928 15.77196 15.1816 14.88348 14.81808
1237655471822471504 250.381414086865 36.5829616309345 17.43492 16.26406 15.84513 15.68906 15.66607
1237655471822471507 250.428930668203 36.5897145908915 17.68971 16.62467 16.2753 16.13751 16.14177
1237655471822471515 250.416179032279 36.592689307598 18.64943 17.45705 16.96595 16.75652 16.69045
1237655471822471517 250.380923912571 36.5831978085201 19.91877 18.22612 17.72982 17.59599 17.61766
1237655471822471534 250.39048406634 36.5914378374058 19.34658 18.38909 18.12803 18.02205 18.04234
1237655471822471537 250.3676510625 36.577120948251 19.4195 18.40504 18.14402 18.02714 18.03612
1237655471822471551 250.356345678798 36.5808576212211 19.68579 18.64082 18.39898 18.29572 18.33174
1237655471822471552 250.413332085607 36.5902292470375 19.64928 18.66189 18.43062 18.33814 18.40522
