objid ra dec u g r i z
1237651328250675382 114.540318104927 38.8780298649691 21.51655 18.34148 17.04209 16.46062 16.16641
1237651328250675401 114.542105086647 38.8784372962378 21.10662 18.82932 17.73583 17.22687 17.02503
1237651328250675392 114.53158306445 38.8928223743677 20.54405 18.25207 17.0559 16.54561 16.3093
1237651328250675397 114.534702956968 38.8889321489952 20.47355 18.41028 17.35446 16.89501 16.68201
1237651328250675403 114.545267743922 38.8783031557603 20.11437 18.23404 17.47513 17.1831 17.1048
1237651328250675414 114.530640240602 38.8912328755857 20.64171 18.7135 17.67848 17.23579 17.04205
1237651328250675386 114.524939928866 38.8937634712946 20.40974 18.07837 16.91926 16.43089 16.1905
1237651328250675387 114.538968879407 38.8694563860777 21.17503 18.28687 17.05374 16.51571 16.24088
1237651328250675390 114.528610702075 38.8926535926362 20.60108 18.28585 17.02533 16.48916 16.21893
1237651328250675398 114.520325570396 38.8754133204607 20.81102 18.4914 17.44353 16.97382 16.73075
1237651328250675406 114.543801844868 38.8704176783105 21.4388 18.71981 17.59966 17.12143 16.88324
1237651328250675419 114.524046471291 38.8721261817723 21.0174 18.91583 17.87495 17.42041 17.21764
1237651328250740795 114.537394357122 38.8955770306224 20.89625 18.93264 18.07045 17.67959 17.50059
1237651328250675376 114.532614545713 38.867373164434 19.69734 17.25618 16.04936 15.52505 15.24656
1237651328250675379 114.541193292017 38.8668706796391 20.94511 18.06171 16.71176 16.11329 15.80271
1237651328250675385 114.524931318292 38.8682349997556 20.41984 18.04065 16.87385 16.35829 16.0786
1237651328250675394 114.556152281845 38.8826614301721 21.14906 18.40662 17.22005 16.71459 16.46604
1237651328250675405 114.52898203338 38.8989234376771 20.55591 18.61716 17.50396 17.03107 16.81641
1237651328250675410 114.554892240858 38.8850650824703 20.9411 18.68202 17.63247 17.16599 16.94424
1237651328250675411 114.526867119428 38.8684993314876 20.49578 18.39405 17.54139 17.19569 17.06277
1237651328250675415 114.524670090405 38.8974573128607 20.76159 18.69156 17.58204 17.1394 16.95637
1237651328250740768 114.553097982789 38.893377737124 20.62072 18.1914 17.09191 16.60844 16.34541
1237651328250740779 114.53310615123 38.8977810537592 20.53513 18.49051 17.51926 17.09909 16.86032
1237651328250740782 114.536395692498 38.8968573255096 20.44069 18.3945 17.42989 16.99911 16.81042
1237651328250740791 114.54644760442 38.8962835764984 21.89685 25.11438 18.57178 24.3618 18.29389
1237651328250740796 114.55492382651 38.8892484475017 21.10328 19.05889 18.18134 17.78692 17.62989
1237651328250740810 114.53909708392 38.8986843222267 21.04865 19.32757 18.52836 18.1596 18.04197
1237651328250740814 114.531973635083 38.8997791864588 21.19727 19.4017 18.62181 18.27584 18.17436
1237651272953626724 114.499729195164 38.8670722727772 17.21456 15.27723 14.54598 14.26441 14.10948
