objid ra dec u g r i z
1237668625695768716 182.524527781577 18.5426644389688 17.84206 17.11639 24.80204 24.36181 22.82691
1237668625695768687 182.526739649974 18.539768368688 18.05993 16.0413 15.35738 15.18717 14.94262
1237668625695768700 182.52778402704 18.541124812664 18.21984 17.03862 17.41826 18.08138 18.32475
1237668625695768706 182.52287975047 18.5421816412276 18.43494 17.30571 18.46216 24.3618 22.82689
1237668625695768714 182.52415595898 18.5449365014392 18.52104 17.12582 16.76125 16.55457 16.39245
1237668625695768705 182.524628917953 18.5453223848274 18.61879 17.12286 16.63976 16.3583 16.37839
1237668625695768707 182.526796309971 18.5387279169812 18.70042 17.32331 18.14302 21.13016 22.82689
1237668625695768709 182.529274667179 18.5391822332757 18.4546 17.13229 17.41712 17.85603 18.15414
1237668625695768713 182.522333782554 18.5440804275005 18.50998 17.28285 17.09202 16.92022 17.12302
1237668625695768721 182.526523754194 18.5471196865886 18.59983 17.20873 17.799 18.06753 18.53029
1237668625695768725 182.528859328361 18.542912834615 18.59426 17.41969 17.69157 18.21797 18.66433
1237668496858349653 182.528016463177 18.532959187916 19.48135 18.17007 17.65831 17.49044 17.31582
1237668625695768680 182.516884969293 18.54811434604 17.52815 15.27909 14.37149 15.44087 13.77671
1237668625695768690 182.521886551556 18.5476838955057 18.30519 16.17835 15.49988 15.16506 15.0265
1237668625695768699 182.526429528483 18.5371735233493 18.19335 16.90662 17.13279 17.46466 17.55436
1237668625695768703 182.520571697479 18.5345173936551 18.17256 16.94399 16.92446 16.93868 17.18262
1237668625695768711 182.522554078475 18.5488729344886 18.20966 16.96355 17.41679 17.57229 17.84836
1237668625695768715 182.531534362718 18.5434958004649 18.46165 17.21787 17.76625 18.33256 18.56804
1237668625695768717 182.517036267146 18.5440336927418 18.47841 17.13988 17.44701 17.8107 17.90581
1237668625695768719 182.533691368486 18.5363365635192 18.37453 17.10751 16.99953 17.0891 17.109
1237668625695768720 182.530910896292 18.5457193310708 18.52791 17.25002 17.80832 18.37216 18.53346
1237668625695768726 182.529635152206 18.5473300354284 18.47351 17.2898 18.20504 18.63601 20.1398
1237668625695768734 182.52053501599 18.5372029563685 18.50974 17.57186 18.13363 18.7853 22.82689
1237668496858349618 182.541683671121 18.5302036459469 17.96215 16.68152 16.81359 16.93463 16.94287
1237668496858349626 182.53491907949 18.5299250988888 18.22867 17.03568 17.23231 17.40395 17.47014
1237668496858349639 182.515536710778 18.5300438386294 18.59717 17.34007 17.23097 17.1804 17.16753
1237668496858349640 182.535776706675 18.5215370011148 18.31179 17.24667 17.50488 17.70029 17.86934
