objid ra dec u g r i z redshift
1237668496858349696 182.403900478242 18.4825447750092 18.36236 17.31702 16.82957 16.49559 16.33859 0.111299
1237668591332688287 182.591076665444 18.5270544049156 23.88399 21.77765 20.03973 19.08466 18.57542 0.5219837
1237668625695768852 182.475349658165 18.5790304849941 18.46677 17.25642 16.96766 16.74823 16.68797 0.04980404
1237668625695834804 182.591538307742 18.5742770101192 23.84222 22.27167 20.78284 19.82985 19.07635 0.508813
1237668496858415215 182.556557495568 18.3341350870256 18.9111 18.4601 17.84216 17.37148 17.35041 0.1967094
1237668496858415456 182.552552988566 18.4135037566439 22.212 21.01993 20.26783 19.52555 19.4775 0.617103
1237668591332687985 182.650182976267 18.4762254524662 21.0435 18.99273 17.75083 17.2126 16.84991 0.1804811
1237667914345677054 182.71018301285 18.9958104773218 21.03212 19.13216 17.82542 17.33266 17.01199 0.2409149
1237668296592261618 182.075097065302 18.7912988761247 24.87385 21.73559 20.03249 19.21321 18.78361 0.469871
1237668296592327148 182.245437660486 18.7617747687019 22.65087 21.97292 20.09303 19.27465 18.79053 0.470447
1237668296592327156 182.252519820234 18.7667408293615 25.31009 21.22756 19.54278 18.69029 18.36891 0.4713256
1237668296592327475 182.259797139167 18.8880314176357 26.70137 22.01786 20.73324 19.63101 19.20351 0.6178383
1237668296592392314 182.430190363734 18.8837097361807 18.78285 17.05164 16.1946 15.80036 15.51112 0.06124546
1237668296592392741 182.388798482984 18.8167145317082 24.59766 21.82042 20.21994 19.41587 19.01659 0.4714189
1237668296592457847 182.554597990316 18.7683686796396 20.44994 18.42151 17.39475 16.9368 16.56328 0.1112812
1237668296592458300 182.523903490244 18.7539435440859 25.91238 21.85781 20.09832 19.13667 18.68358 0.5440011
1237668296592523362 182.639223920676 18.739141549785 19.96222 18.14727 17.12074 16.65216 16.28606 0.1265061
1237668296592523445 182.725196435316 18.7801235365154 19.23422 18.02661 17.31759 16.87205 16.6663 0.1099604
1237668296592523467 182.639273569465 18.8250629377577 22.7219 20.73174 19.03132 18.38798 18.03491 0.4367076
1237668296592523582 182.682803632149 18.7313069684847 21.64888 20.49604 19.2837 18.94015 18.3045 0.351808
1237668496858218636 182.177179325676 18.4207988041035 20.73051 18.77619 17.87004 17.40264 17.11617 0.1117377
1237668496858284680 182.326621005129 18.3931987971382 26.49733 23.08248 21.60409 20.08957 20.16588 0.6242509
1237668591332753709 182.728882751284 18.4182074936897 22.30389 22.16569 20.78563 19.78751 19.57262 0.5067128
1237668591332819572 183.019734414533 18.3794945778952 25.42121 21.15298 19.39312 18.72635 18.30092 0.3865548
1237668625158963582 182.580097199446 18.3148858909668 25.92545 21.41058 19.86645 18.86107 18.4482 0.514055
1237668625695572127 182.002475226619 18.5373380715503 19.26751 17.97177 17.33896 16.94164 16.69024 0.06147495
1237668625695703122 182.306126799048 18.6559043400451 19.25762 18.07253 17.56007 17.28012 17.11555 0.06067784
1237668625695703129 182.338930012256 18.6439182323296 20.92918 18.82502 17.7044 17.22167 16.85264 0.1488077
1237668625695769770 182.467015886841 18.672234083567 22.51046 23.3016 21.17579 20.00954 19.40017 0.6244369
1237668625695834391 182.653923167333 18.6187259536616 24.82512 21.31416 19.46105 18.84795 18.62312 0.3811964
1237668625695834404 182.662509707735 18.7086487369363 19.0493 17.53664 16.75386 16.31361 16.05611 0.110965
1237668625695834977 182.629782092319 18.6454367003151 23.25192 22.09217 20.50211 19.50266 18.92669 0.5121233
1237668625695835156 182.679471895843 18.5437207180919 24.02127 22.30453 20.30838 19.25496 18.75453 0.5768359
1237668625695835387 182.609995174232 18.6455275890631 26.51626 22.84619 21.01932 19.67913 19.18116 0.6756318
1237668625695900032 182.726096015227 18.6396340659962 23.71793 22.14351 20.92224 19.97967 19.51639 0.6077635
1237667914345480303 182.332278926638 18.9974809849933 16.6309 15.14492 14.65958 14.45191 14.49575 0.008586498
1237667914345480527 182.270165814421 18.9519798732637 19.55019 18.00064 17.05408 16.61128 16.29314 0.1688378
1237667914345611470 182.562550924763 18.938888523384 24.76804 22.33349 20.6756 19.51168 19.03062 0.5417356
1237667914345611509 182.652830331839 19.0161712638383 16.99551 15.82923 15.22912 14.91242 14.65177 0.02664719
1237667914345612072 182.670724127792 18.9967804640603 24.18987 22.24334 20.64325 19.73169 19.34374 0.49575
1237667914345677377 182.702722461512 18.9817171354677 25.19619 22.10049 20.37534 19.48721 19.11035 0.5045654
1237667914345742548 182.833943909266 18.960236776775 23.65819 20.34977 18.59826 18.04438 17.52594 0.3165984
1237668296592261348 182.085361200097 18.8678949302511 21.66285 19.14613 17.7495 17.22917 16.88078 0.2071855
1237668296592327046 182.181252155045 18.8468768113348 23.70207 21.70337 20.28842 19.52288 18.92553 0.4789698
1237668296592392280 182.378306463401 18.8058549024733 19.19305 18.22881 17.79677 17.43102 17.28679 0.1110441
1237668296592392301 182.397281497675 18.7997932414897 18.36545 16.41953 15.47803 15.05423 14.7196 0.07669641
1237668296592392322 182.430012080475 18.9303790660466 18.5477 17.00203 16.29532 15.9397 15.70732 0.0245678
