objid ra dec u g r i z redshift
1237661068190482708 187.382168339818 13.7364198491715 22.82573 21.81339 20.252 19.24932 18.82241 0.517479
1237661068190482804 187.297201473484 13.9110461686149 22.94262 20.91783 19.04894 18.25311 17.85424 0.4360759
1237661068190548004 187.531876239319 13.8617079655682 23.12705 19.8856 18.29878 17.61555 17.25295 0.26575
1237661068190548067 187.44838119084 13.8964282816318 20.12196 18.17465 16.96365 16.46145 16.10903 0.1651683
1237661068190548092 187.463388045607 13.86794400566 17.20106 15.91949 15.51519 15.30323 15.19399 -0.001988344
1237661068190548173 187.454962706236 13.9056000584902 23.63283 20.64378 18.91611 18.31 17.95187 0.2959254
1237661068190548232 187.483695900335 13.7992298587952 23.72524 22.36544 20.88582 19.97188 19.50977 0.5038806
1237661068190613612 187.653720075579 13.9079295176551 19.37939 18.01531 17.29428 16.87016 16.55025 0.04913135
1237661068190614201 187.635328134851 13.9191098695153 22.3762 22.59026 21.42939 20.09329 19.37489 0.6778086
1237661068190614331 187.728450993275 13.796422372137 25.61303 22.61421 20.49327 19.51837 18.95304 0.5676537
1237661068190679705 187.766581287485 13.8211679358442 25.87181 22.55759 21.07751 19.98429 19.26039 0.5767859
1237661068190745312 187.910153111503 13.8753300333628 25.23076 22.62745 20.87801 19.88535 19.5399 0.483961
1237661813886484668 187.310352106217 13.4519954309762 22.53577 20.34827 18.73111 18.11343 17.70228 0.3225487
1237661813886550206 187.584236539464 13.3384171690064 18.77638 17.75516 17.20062 16.8126 16.64485 0.09789764
1237661813886681379 187.779838240762 13.4737263220289 22.89724 21.91811 20.34032 19.44139 19.01506 0.4893453
1237661950792565512 187.704248417496 13.2237916087808 18.5092 17.09332 16.46358 16.25341 16.09965 0.0001177665
1237661951329501680 187.783188399036 13.6424030825411 23.51413 22.35391 20.57733 19.69406 19.21297 0.5160122
1237661951329501741 187.808671444488 13.7084617257228 27.06238 21.32395 19.56663 18.62226 18.21457 0.4907847
1237664289392558347 187.40825106348 14.0161014923419 19.90897 18.31468 17.43041 16.99464 16.65209 0.1004913
1237664289392623764 187.54829975359 14.0655349770355 23.73523 23.16868 21.32696 20.05344 19.50704 0.5965198
1237664289392689306 187.666455013858 14.0615918843232 17.47413 16.20432 15.57122 15.19488 14.94916 0.07112848
