objid ra dec u g r i z redshift
1237668560736420823 259.046465686897 43.1871111387276 22.83654 21.97345 20.20334 19.28915 18.69612 0.4931825
1237665584331555329 258.785217097543 43.0644200360397 19.36719 17.40121 16.33467 15.88759 15.50101 0.1253836
1237665584331555704 258.720723847476 43.1532446271481 23.14627 20.84826 19.18715 18.52422 18.19444 0.3643456
1237665584331621659 258.718644027739 42.8615991981283 22.87136 21.56938 20.6355 19.68526 19.23117 0.6648765
1237665584331752124 258.917535638723 42.7224128278761 21.92944 19.2815 17.90782 17.41009 17.09973 0.2317967
1237665584331752615 259.000858244731 42.6994243485133 22.71886 21.38839 19.56163 18.88689 18.53006 0.3413003
1237668678843695704 258.64210785666 43.363023564268 22.05368 19.33466 17.88377 17.31343 16.92746 0.2218385
1237668678843761575 258.70273303738 43.4418962253041 23.52942 21.91275 19.98556 19.14562 18.7163 0.4717315
1237665584331555189 258.582414881332 43.0904579201538 21.25035 18.86238 17.51048 16.98221 16.65292 0.2205604
1237665584331555318 258.739741260026 43.0540710553612 19.84217 18.04247 16.89769 16.4343 16.10626 0.1813159
1237668560736420513 258.74336991735 43.2144043734659 24.8266 22.42404 21.07778 19.87486 19.18244 0.6287074
1237668560736420624 258.886098736889 43.2187795146497 25.77341 21.78474 20.08917 19.26481 18.84333 0.4481147
1237668560736420720 258.931389288237 43.1906666487837 23.62299 20.75006 18.99968 18.36864 17.98548 0.3717297
1237668560736486426 258.982654116179 43.0684524586579 24.0828 20.7154 18.86842 18.2753 17.86495 0.3517389
1237668560736486668 258.891064197798 42.9706768862704 26.32306 22.22727 20.56723 19.6527 19.15629 0.5196573
1237668678843827128 258.884292865558 43.3652466237872 24.70457 22.46937 20.54969 19.64512 19.13424 0.4745338
1237668734678401628 258.877038738545 43.5333783242922 22.67899 22.29797 20.47479 19.39104 18.83096 0.5522453
1237665584331489802 258.612176433539 43.2596391661076 22.86596 20.87521 19.10657 18.5146 18.0434 0.3650922
1237665584331489823 258.633294112347 43.2409390425227 23.21053 20.9501 19.12284 18.50707 18.2366 0.363809
1237665584331489838 258.600946947064 43.225051528024 24.25202 22.46872 20.96089 19.95774 19.43582 0.5519913
1237665584331555255 258.576037826692 43.0440228571155 20.05546 17.8878 16.70501 16.21094 15.82315 0.1572596
1237665584331621596 258.773486617723 42.9030444414453 23.95491 22.2029 20.55677 19.52405 19.01147 0.4969965
1237665584331621610 258.735263088907 42.8853663839772 23.36143 22.00909 20.4004 19.50398 19.00657 0.4952798
1237665584331687004 258.848175573549 42.8053520661046 22.41161 22.16115 20.32037 19.22891 18.75176 0.5499837
1237665584331687005 258.846336454301 42.8059893710987 23.45729 21.94428 20.1445 19.07257 18.82619 0.5470932
1237665584331687094 258.819703479323 42.7668703466723 21.56178 20.65923 20.09707 19.36891 18.83867 0.6062968
1237665584331687207 258.89356758332 42.7385200197686 24.04375 21.89038 20.40395 19.56616 19.25286 0.6328984
1237665584331751936 258.927662173587 42.6717148966102 21.02078 18.8919 17.63109 17.13745 16.80062 0.1795997
1237665584331752227 258.955495187267 42.7275888963845 21.68744 20.70637 19.00302 18.34709 17.9733 0.3608418
1237665584868622583 259.460119608049 42.7801289707363 24.11375 18.3919 18.12902 17.28627 22.95912 -8.761514e-05
1237668560736682640 259.106636726666 42.6197826491884 25.95327 22.23489 20.40833 19.37133 18.99153 0.5488351
1237668678843761234 258.742243724092 43.399911473507 22.40043 19.84879 18.40252 17.79101 17.51272 0.278908
1237668678843761638 258.720430673533 43.3649300061084 23.5709 21.71379 19.90149 19.05123 18.52673 0.474461
1237668678843761903 258.837378095172 43.3464309047886 23.51687 22.13106 20.45328 19.67779 19.33886 0.5141988
1237668678843761980 258.669981557584 43.3404395419175 23.28573 22.31497 20.21734 19.17414 18.35328 0.6284769
1237668678843827215 258.91052997256 43.295282589275 22.77457 21.39551 19.97498 19.01619 18.62653 0.5487581
1237668678843827338 258.975345566714 43.3058909353089 24.66695 22.17041 20.56949 19.59455 19.27444 0.5152521
1237668678843827359 258.991581421356 43.3532892999286 23.71752 21.36707 19.48174 18.83915 18.33792 0.4138999
1237668678843827453 259.01622732873 43.2975275360807 24.2327 22.95968 21.25608 20.06803 19.66183 0.5514379
1237668734678402523 258.910384769471 43.5404674046687 23.56978 22.21982 20.52933 19.41316 18.94181 0.5516
1237668560736551460 259.021710460266 42.9807255551645 22.28097 20.72095 18.92682 18.28625 17.88782 0.3499825
1237668560736616951 259.045849795675 42.7127575807448 22.81643 20.41061 18.69599 18.10224 17.77516 0.3457702
1237668678843827017 259.043266899979 43.3132243430268 22.092 26.18853 24.38217 25.66101 23.98582 0.9886179
1237668734678401671 258.934448112408 43.5125179533237 24.24373 21.5998 20.21192 19.30536 18.91453 0.5507213
