objid ra dec u g r i z redshift
1237665373870096398 239.802256875444 20.7633537818069 15.94416 14.22679 13.42598 13.02252 12.73559 0.01465694
1237665373870096401 239.796483333176 20.7547285277708 16.28839 14.29889 13.27366 12.7731 12.41762 0.01398892
1237665373870096407 239.79947796504 20.7471422236683 18.89774 16.45632 16.35697 16.16121 22.8341 0.01525017
1237665373870097342 239.799272483939 20.7876230757217 21.0521 21.15573 18.41681 17.59178 18.04372 0.5637606
1237665373870096406 239.829237081606 20.7464972021265 19.66154 18.29931 17.52274 17.03456 16.77325 0.1117552
1237665373870031122 239.731617112105 20.7769901313162 19.07637 17.19469 16.3622 15.97567 15.6752 0.07313854
1237665373870096658 239.837138514162 20.7190713382571 19.46627 18.04853 17.57906 17.3067 17.211 0.06659017
1237665373870097155 239.877913862669 20.7831283828971 25.05457 22.90145 20.83808 19.4504 19.01693 0.6159545
1237665373870031609 239.713400794477 20.7817451466247 22.28463 21.7328 20.58723 19.60306 19.02563 0.6243247
1237665373870096690 239.846475765704 20.6905881467583 20.33756 18.27005 17.26941 16.764 16.33196 0.1082262
1237665373870097217 239.878062197086 20.7235093199137 22.38746 21.58915 20.27518 19.49867 19.03025 0.5536414
1237665537078198576 239.883393721782 21.0283249040982 23.25511 24.59511 21.42034 19.99343 19.38005 0.7386585
1237665101148192929 239.74637327881 21.0422355790711 20.16156 18.50049 17.725 17.34768 17.06231 0.08865403
1237665373869900278 239.306427885905 20.8880500966928 22.65464 22.68364 20.8725 19.81059 19.43987 0.5686212
1237665537078198592 239.899370728504 21.0255662774696 19.70274 18.38465 17.38025 16.89689 16.55295 0.1732621
1237665101148062290 239.495705011786 21.1652971825096 23.10802 21.41936 19.51026 18.86813 18.44615 0.357514
1237665101148193016 239.8001635743 20.9730405564711 19.90757 17.92754 16.99785 16.56289 16.23845 0.06656124
1237665101148193046 239.824755030923 20.9723939720212 20.57952 18.26263 17.10223 16.63416 16.24608 0.1416129
1237665101148193048 239.829857706043 20.9752408476757 24.75922 21.91067 19.98794 18.74534 18.48649 0.6164299
1237665101148258915 239.83280118736 20.8915121878083 24.90263 21.37972 19.48435 18.80406 18.39288 0.4260918
1237665101148259482 239.907684150737 20.8457330720735 24.32531 23.34069 21.36979 20.20069 19.49782 0.6589068
1237665101148455066 240.271598678914 20.7100028664757 19.25138 17.25683 16.21712 15.72969 15.34625 0.08851533
1237665101148455769 240.32793887099 20.728494661846 22.97829 22.39148 20.41071 19.38648 18.8883 0.576744
1237665127491895439 239.792883301288 21.2261002649425 24.52415 23.00768 21.15265 20.13201 19.66826 0.5428798
1237665127492092199 240.162294685863 20.9810448723556 20.45442 18.4731 17.1697 16.62101 16.25845 0.1738561
1237665127492158149 240.265668269885 20.9669227539621 22.64919 21.48815 19.97703 19.17189 19.12552 0.5322273
1237665373333094716 239.386434442545 20.43112345858 19.42942 17.72014 16.78617 16.29998 15.91291 0.06943096
