objid ra dec u g r i z redshift
1237667323797635331 194.640700738303 27.6746470263082 20.47571 18.61315 17.57855 17.18322 16.93116 0.1887735
1237667323797700711 194.915871448621 27.5764682429795 17.1587 16.11705 15.74592 15.57805 15.44075 0.01671366
1237667323797701145 194.83372270399 27.5810123566721 26.26877 21.75907 19.56671 18.86217 18.50215 0.4279219
1237667323797831849 195.219300849351 27.6372851374481 21.7571 19.99907 18.48033 17.91187 17.63083 0.2764964
1237667323797832474 195.294611487397 27.6684150190394 24.37302 22.34028 20.74705 19.81329 19.17752 0.5143543
1237667324334440540 194.490495431318 28.0617799443065 16.96789 15.87782 15.39091 15.10506 14.89471 0.02713996
1237667324334571535 194.881003677847 28.0465992544692 17.5459 15.23153 14.40057 14.13706 13.88645 0.02307543
1237667324334571539 194.869681248126 28.0405136075276 18.20892 16.25861 15.43664 15.09642 14.84072 0.01875564
1237667324334571629 194.860799722999 27.9984691467867 18.09124 16.33075 15.57279 15.18918 14.90816 0.02224383
1237667324334571631 194.854357356228 27.9967289738234 19.69301 17.60955 16.87941 16.5013 16.26829 0.01828161
1237667324334571840 194.964420679528 28.0734807455189 18.88881 17.09958 16.33121 15.96352 15.69099 0.02498956
1237667324334571861 194.990049152277 28.0650983643497 18.93341 17.28432 16.60643 16.25299 16.01452 0.01948424
1237667444048461985 194.486651063255 27.9917515629554 17.87544 17.17692 17.02786 17.03846 16.87458 0.01522599
1237667444048462668 194.496952144401 27.8804063445135 24.16573 22.0894 20.59201 19.69144 19.12533 0.546165
1237667444048527502 194.510120371264 27.8504692440752 19.34796 17.42425 16.57874 16.16144 15.85742 0.06554989
1237667444048527503 194.507132605443 27.853558843558 18.51391 16.80279 16.08529 15.70631 15.4298 0.01897641
1237667444048593359 194.839209063327 27.9735636126666 18.77449 17.0782 16.37422 16.0253 15.77668 0.020206
1237667444048658526 194.85618926293 27.9732025361547 17.87573 16.09023 15.29822 14.91355 14.64339 0.0203301
1237667444048658529 194.855528183487 27.9679287193778 18.11848 16.25928 15.45271 15.0791 14.80128 0.02570544
1237667444048658536 194.85556975845 27.934486844629 19.25179 17.57814 16.87133 16.55045 16.31589 0.02531135
1237667444048658635 194.907950386419 27.9073190203884 17.22689 15.37539 14.55055 14.15343 13.8371 0.02671096
1237667444048658808 194.936228016098 27.8897619487945 19.33815 17.76295 17.05694 16.71971 16.44641 0.02270657
1237667444048658912 194.959090899154 27.9126352963017 19.71703 18.18306 17.48249 17.13521 16.91094 0.02417115
1237667444048723983 195.033861806617 27.9769409339441 14.38514 12.34633 11.52409 11.22058 10.84526 0.02150175
1237667444048723984 195.068828687318 27.9675072207259 17.0715 15.35325 14.60352 14.30967 14.06118 0.01547031
1237667444048723989 195.025435148088 27.9783006688951 16.67795 14.87184 14.17511 13.99519 13.80917 0.0254602
1237667444048723996 195.015612955412 27.9647056871805 19.10126 17.20739 16.40104 16.0264 15.91872 0.01777885
1237667444048724001 195.043119877119 27.9590680068198 19.76697 18.02793 17.51078 17.23524 16.93896 0.02111432
1237667444048724004 195.031143008716 27.9580695258027 19.76677 17.47298 17.06999 16.51571 16.44822 0.02071731
1237667444048724058 195.023672430569 27.9264637304653 20.1095 18.31403 17.74396 17.43548 17.26918 0.02653266
1237667444585398354 194.62295618594 28.301121257974 18.20572 16.56734 15.81215 15.53859 15.13511 0.01969534
1237667444585398712 194.593522103118 28.2484929474556 26.82085 21.82037 20.16058 19.32141 19.01748 0.4610176
1237667444585595059 195.184284089138 28.3372650778368 16.92377 15.19825 14.4373 14.06487 13.73953 0.02640828
1237667444585660575 195.344906519909 28.1960359786215 17.38426 15.52895 14.77109 14.39882 14.10128 0.02536228
1237667444585660600 195.359800476381 28.2207793334115 20.4287 18.42724 17.34207 16.90627 16.53412 0.1523012
1237667444585660606 195.363800424766 28.1821369635008 20.04961 18.09644 16.9823 16.51222 16.13988 0.162743
1237667444585660907 195.276495049354 28.3034238221076 22.44872 20.93382 19.29214 18.63577 18.2242 0.3733957
1237667444585660989 195.30461043911 28.2413250587169 22.2746 20.83986 19.38343 18.87275 18.44625 0.2876221
1237665440442089547 194.83755025456 28.4414771457149 19.23372 17.63666 16.90881 16.56899 16.32354 0.02189435
1237665440442155078 195.092326648942 28.4007256412778 17.01042 16.75491 16.37768 15.86071 15.80912 0.09116947
1237665440442155264 195.08282312485 28.4392284379375 19.92065 18.45471 17.78102 17.47475 17.30904 0.02369337
1237665440442155684 195.026055259467 28.4340643043938 24.64882 22.96744 21.0159 20.07474 19.59212 0.5312735
1237667323797569660 194.502862147896 27.8033062721655 20.21525 18.19894 17.1936 16.77634 16.43403 0.1120438
1237667323797569720 194.57008695939 27.7296739255664 18.49941 16.95292 16.24401 15.83933 15.55521 0.06823571
1237667323797569737 194.57992274172 27.7620674886796 18.20219 16.62283 15.93298 15.57395 15.31138 0.01818292
1237667323797570005 194.490246273184 27.7417041817074 21.83383 20.23958 18.66771 18.06829 17.71503 0.3234582
1237667323797570169 194.548805627558 27.6906756089024 25.65492 22.5293 20.48913 19.35755 19.01555 0.5971437
1237667323797635081 194.631665977553 27.6734902148805 18.11027 16.35757 15.58827 15.19718 14.91869 0.02306956
1237667323797635092 194.646608284453 27.5964087447911 15.55081 14.17146 13.50287 13.13581 12.85175 0.02564392
1237667323797635203 194.717062697822 27.785051268915 17.04846 15.26748 14.51565 14.10544 13.82443 0.01885658
1237667323797635256 194.781212164653 27.7677646279861 17.29912 15.4328 14.65142 14.24708 13.97746 0.02121973
1237667323797635257 194.784165684235 27.7841176992858 16.64039 14.73416 13.93037 13.49947 13.19974 0.02344777
1237667323797635258 194.778525156343 27.772454893581 18.92367 17.22174 16.48382 16.10402 15.89487 0.02083039
1237667323797635436 194.66798010818 27.6650406884127 21.90999 19.38533 17.82536 17.26731 16.93469 0.2829781
1237667323797635452 194.752252253898 27.7674254729732 19.76182 18.58019 17.67658 17.24243 16.92958 0.2285847
1237667323797635670 194.657926303841 27.6844707610288 23.12368 22.0386 20.83331 19.82608 19.48814 0.6079314
1237667323797700611 194.806238402606 27.7745923031048 17.04775 15.20765 14.41999 14.01892 13.75777 0.02276696
1237667323797700661 194.827255275185 27.5935943619426 18.19309 17.00343 16.65007 16.49159 16.44106 0.01744308
1237667323797700685 194.865752195055 27.6362922486144 16.30513 15.45555 15.53589 17.16007 17.28334 -0.0006262296
1237667323797700769 194.826472019194 27.7157317832014 19.01295 17.44312 16.73638 16.38217 16.14339 0.02225661
1237667323797700818 194.907439168743 27.7025874767897 20.36666 18.50344 17.46435 17.0288 16.6772 0.1271188
1237667323797700828 194.922146327326 27.6598262233116 17.49995 15.81591 15.03935 14.64811 14.39596 0.02251487
1237667323797700847 194.937274299724 27.7372044108505 18.50765 17.23706 16.64248 16.30861 16.11703 0.08167683
1237667323797700859 194.793670655689 27.6051680800757 21.17783 19.44869 18.08951 17.53089 17.14799 0.2113593
1237667323797701161 194.848992247313 27.6807368784624 24.67938 22.57784 20.64096 19.47039 18.9342 0.6495194
1237667323797766302 195.043379366094 27.5949975687863 17.95028 16.33189 15.58514 15.22353 14.96292 0.01865591
1237667323797766367 195.098931645622 27.6631009313925 24.15986 20.74417 18.87375 18.24659 17.84896 0.3783316
1237667323797766553 194.996474255883 27.741253608622 22.53482 22.13998 20.87242 19.74968 19.39977 1.147704
1237667323797766845 195.086095366886 27.64841136414 22.77739 21.28 19.39319 18.7446 18.38786 0.3760988
1237667323797766854 195.096669407237 27.7342303704288 22.13285 21.83788 21.0625 19.8184 19.40998 0.8088148
1237667323797831766 195.18835503955 27.7470167568079 19.56878 18.06635 17.56057 17.31568 17.14826 0.03112869
1237667323797831800 195.243237908893 27.6520880376846 17.14125 15.49305 14.77763 14.43526 14.19267 0.01737385
1237667323797831972 195.27423272777 27.7088828190497 20.06968 18.42316 17.75173 17.49237 17.24548 0.0291256
1237667324334440484 194.625853247565 28.0147532588365 16.38157 14.5698 13.78393 13.38037 13.10502 0.02383802
1237667324334440561 194.539734936583 28.1849698830784 19.35682 18.12595 17.61992 17.26096 17.02434 0.04415191
1237667324334440570 194.5575086563 28.18254540836 16.91628 15.24012 14.50901 14.12917 13.87185 0.02395133
1237667324334440628 194.572521731627 28.040079736476 19.28084 17.61971 16.92653 16.55096 16.29012 0.02065441
1237667324334440631 194.575458030489 28.0705323550505 20.64025 18.37481 17.25847 16.78826 16.43855 0.1573539
1237667324334440670 194.606368891531 28.1289242149285 17.11033 16.09477 15.66263 15.40301 15.20162 0.02736316
1237667324334440699 194.632953267341 28.0496133708017 17.97205 16.26281 15.51751 15.13092 14.836 0.01903112
1237667324334440764 194.582201586932 28.0948417548843 19.58189 17.54148 17.19524 17.09835 17.2716 0.02392415
1237667324334506238 194.673441404299 28.1854913425803 19.49325 17.80676 17.12463 16.75904 16.49357 0.02682729
1237667324334506354 194.834179578419 28.1979236032646 17.90968 16.23833 15.47786 15.09727 14.81795 0.03156341
1237667324334506769 194.787268998495 28.1998588553273 22.60696 22.94777 20.67944 19.81988 20.42174 0.5169972
1237667324334702646 195.203326003536 28.1583432200996 15.89186 14.09528 13.29176 12.85857 12.583 0.01936991
1237667324334702681 195.202694947263 28.0907359510681 16.54008 14.667 13.8521 13.42195 13.09182 0.02324185
1237667324334702748 195.226908523941 28.0076343788986 15.75418 13.84129 13.0523 12.62324 12.29495 0.01662251
1237667324334702750 195.227620012473 27.9975893575564 24.02479 19.28771 17.79797 17.21261 16.81388 0.3022372
1237667324334702943 195.280675081039 28.1215670235636 19.68995 18.27377 17.62759 17.2197 17.0233 0.1520883
1237667324334702984 195.3243468103 28.0970738403029 19.90666 18.18926 17.48994 17.12665 16.92632 0.02682218
1237667324334703375 195.28501003249 28.097345915187 22.43405 21.2887 20.32431 19.55554 19.07762 0.5713024
1237667324334768368 195.396838730792 28.1469487080879 19.22079 17.6053 17.01215 16.70065 16.47588 0.01759234
1237667324334768376 195.403178036857 28.057782633532 20.21195 18.22651 17.2865 16.86072 16.52222 0.09851316
1237667324334768379 195.40552168312 28.015768482572 19.32855 17.78703 17.04533 16.69801 16.40376 0.02383511
1237667443511787630 194.852450813482 27.5173376035386 19.14425 17.78726 17.21184 16.91525 16.69262 0.01965179
1237667443511853122 195.016882581654 27.5126877045697 19.14132 17.88678 17.23935 16.87043 16.5845 0.1272077
1237667444048461897 194.447097149202 27.8333090310031 17.38923 15.59799 14.83498 14.43712 14.16918 0.02018767
1237667444048461951 194.438760194975 27.9059772090452 19.25643 18.00584 17.58319 17.33132 17.18377 0.02702302
1237667444048462547 194.444417178614 27.8716592523491 24.93911 21.68194 20.42977 19.4354 19.03983 0.5250039
1237667444048527371 194.514623549089 27.8149479248248 17.37572 15.54642 14.74229 14.30824 14.0787 0.0237746
1237667444048527399 194.590959124511 27.9677800668307 16.62545 14.85468 14.05896 13.62781 13.3261 0.0200533
1237667444048527401 194.595255037724 27.9716050449311 21.80391 18.7765 18.07129 17.19209 17.01852 0.0001211388
1237667444048527597 194.632082674379 27.8528724362135 20.68442 18.74958 17.45815 16.9451 16.59537 0.2095207
1237667444048527603 194.635524202089 27.8497274212041 20.70546 18.9533 17.73955 17.39108 17.05187 0.158717
1237667444048527610 194.64071291651 27.8367690292763 19.23433 17.73252 17.07568 16.73754 16.50539 0.01503399
1237667444048527840 194.650332407679 27.8728881695377 19.47641 18.08342 17.39695 17.08869 16.83411 0.02366776
1237667444048592910 194.703028629222 27.8104347473267 16.58498 14.73923 13.94722 13.53746 13.24083 0.01974443
1237667444048592948 194.733084586482 27.8333724028731 16.20967 14.84674 14.15626 13.76769 13.44168 0.02510278
1237667444048593206 194.693613491217 27.9017945906174 19.43615 17.47629 16.39689 15.9089 15.55692 0.1579231
1237667444048789843 195.228212911853 27.8420078785302 18.64128 16.97364 16.25338 15.89612 15.647 0.02362565
1237667444048789947 195.219678297285 27.825628313379 19.22087 18.02575 17.46053 17.12644 16.98514 0.4536214
1237667444048790245 195.273887396113 27.9402837605939 21.55519 21.38286 20.28389 19.45403 18.95618 0.5796022
1237667444585332850 194.523281625983 28.2425914979005 15.61214 14.50418 13.74121 13.34591 13.04179 0.02398841
1237667444585463921 194.751377287711 28.4060601592554 19.82206 17.93512 17.05188 16.64545 16.31842 0.08709665
1237667444585529680 194.935673684688 28.2565255813047 19.6352 18.49152 17.82103 17.50137 17.25436 0.02630129
1237667444585529703 195.025649843962 28.2521831548175 19.77466 17.59729 17.18436 17.06415 17.46061 0.02121929
1237667444585594903 195.074696936135 28.2023981846296 15.69563 13.82683 13.00685 12.59521 12.26838 0.02844437
1237667444585595135 195.07542175011 28.236517187724 25.79867 21.06156 19.3308 18.65767 18.27401 0.3693378
1237667444585660515 195.242798249735 28.3613201502061 19.71876 18.11835 17.22779 16.73446 16.36483 0.1435738
1237665440442024050 194.758987899542 28.4684089139317 20.92267 18.76565 17.58329 17.12154 16.78726 0.1836596
1237665440442089553 194.846473955767 28.4885986082148 17.38275 16.25607 15.80773 15.55946 15.36865 0.0233463
1237665440442089601 194.92210604102 28.5071954081152 17.37988 15.73116 15.01024 14.66551 14.42318 0.02748123
1237665440442089845 194.852211058315 28.5055867640396 23.29702 24.01097 21.24657 20.00054 19.30315 0.6401739
1237665440442090194 194.899118861805 28.5074226577981 22.64169 22.33439 20.47848 19.32626 18.73186 0.6435075
1237665440442155277 195.104984231628 28.4458219305836 22.29762 20.39851 18.63432 17.93522 17.47331 0.4367336
1237665440442155329 195.059240607119 28.458065617984 20.03637 18.43085 17.74685 17.44919 17.26569 0.02610259
