objid ra dec u g r i z redshift
1237648704597197655 229.29940557599 0.0331800405750882 24.01305 21.666 19.65169 19.00703 18.67398 0.407171
1237648704596935136 228.793135999505 0.106820480777605 21.01639 18.98299 17.82673 17.34175 16.95334 0.172084
1237648704059999522 228.56130649049 -0.241835075586728 22.34767 22.34071 20.27477 19.11612 18.51881 0.6857399
1237648704060064200 228.753736575376 -0.284822348532258 21.29809 19.29071 17.79201 17.26443 16.87588 0.2369933
1237648704060260629 229.17423492613 -0.392416971977443 20.2096 18.34974 17.36164 16.88597 16.49465 0.1168362
1237648704060325950 229.31292692993 -0.239277646644489 18.73903 17.43948 16.73289 16.31768 16.06664 0.1241378
1237648704060326178 229.323120186749 -0.213105414324439 20.27463 18.47946 17.39038 16.85582 16.43054 0.1240448
1237648704596870017 228.586404206027 0.0878980071793023 25.36537 21.89293 20.08086 19.25342 18.78299 0.4425206
1237648704596935128 228.784432950103 0.147886994962412 19.97723 17.96185 16.92695 16.48012 16.12415 0.1211023
1237648704597000935 228.848148388546 0.194874045344842 22.65243 21.91347 20.33578 19.04844 18.62406 0.6355357
1237648720715252074 228.864769694938 -0.423941551245071 19.31001 18.14844 17.65167 17.32066 17.17581 0.0913632
1237648720715317287 228.976689751935 -0.589618229241083 25.67493 23.67187 21.88452 20.42521 19.6432 0.8295155
1237648721252058373 228.670263178002 -0.116369864066126 25.5102 22.69569 21.08341 19.79455 19.25995 0.6479663
1237648721252190509 228.941105422154 -0.101116318351583 25.38368 22.13096 20.45506 19.43275 18.87206 0.613139
1237648704060195798 228.993140412659 -0.38769294885851 24.52195 22.91662 21.22006 19.91318 19.50076 0.7188905
1237648704597065781 229.004016807273 0.163810456303218 18.89895 18.51059 17.88919 17.39393 17.25686 0.1713439
1237648704597066426 229.099141203794 0.0323686860476475 20.75972 18.71215 17.69125 17.23126 16.85338 0.1126961
1237648704060064159 228.81767778699 -0.240519861689356 19.94062 18.54736 17.80816 17.40734 17.10395 0.09987765
1237648704060129355 228.851915325695 -0.340173494411528 19.43693 17.51637 16.49479 16.01546 15.65286 0.09954324
1237648704060129398 228.884159586727 -0.303478188322106 24.61411 22.33528 20.5265 19.72027 19.26493 0.4516906
1237648704060129535 228.84274539424 -0.262751335748784 20.69031 18.91367 17.47463 16.95515 16.55113 0.2300982
1237648704060129536 228.83818988977 -0.266980456989747 19.46019 18.2013 17.6789 17.32083 17.1239 0.07851809
1237648704060130485 228.947700186066 -0.383946396105257 22.96579 20.95935 19.1507 18.48658 18.08394 0.3419778
1237648704060194982 229.097232195354 -0.281061487677752 19.38202 17.07453 16.17879 15.76686 15.44432 0.1216608
1237648704060195342 228.991632692422 -0.285242850352821 19.83094 18.58094 17.9158 17.57329 17.39258 0.1216475
1237648704060196056 229.048946554053 -0.283520307247886 23.15424 22.15415 20.71024 19.71503 19.34542 0.5703952
1237648704060325973 229.336715402362 -0.399849402903864 20.3272 18.59381 17.66026 17.26373 16.89301 0.1154048
1237648704596869359 228.555627655614 0.0499760041206508 20.33184 18.24166 17.09646 16.61075 16.27245 0.1382639
1237648704596869541 228.560629589425 0.139367422678547 21.26439 19.20736 17.6642 17.03735 16.66566 0.2344086
1237648704596869595 228.661014585036 0.0583188595291521 23.65573 19.82785 18.30712 17.76073 17.44723 0.247108
1237648704596934983 228.707970531132 0.136313732614312 21.46809 19.03339 17.67341 17.14559 16.7838 0.2051992
1237648704597000578 228.932789952641 0.106035755867706 19.77443 17.7767 16.7621 16.299 15.93131 0.1045468
1237648704597065758 228.976789051924 0.053757864601676 20.14258 18.22332 17.19942 16.74113 16.41344 0.1216778
1237648704597066220 229.017296552076 0.173588954459986 20.46674 18.59025 17.56653 17.12343 16.7986 0.1217396
1237648704597066305 229.056531129256 0.0720233702693517 19.92524 17.9287 16.8568 16.41348 16.03011 0.1222532
1237648704597066373 229.082984262468 0.0595969309949673 19.54862 17.52292 16.44103 15.96621 15.59089 0.1173254
1237648720715252129 228.905036921656 -0.519469443223977 19.04429 16.97039 15.92611 15.4493 15.06618 0.09217137
1237648720715317480 228.970705930178 -0.460922232174147 20.06936 18.36816 17.51441 17.08168 16.71469 0.05109622
1237648720715317541 229.026759572107 -0.465110779093747 19.47703 18.34499 17.83606 17.5466 17.38237 0.05019719
1237648720715318212 229.027551103358 -0.511231337507974 23.34157 21.99887 20.40127 19.60241 19.09622 0.4811833
1237648720715383152 229.191363694539 -0.503338549172686 25.15424 20.58881 19.3809 18.62901 18.14413 -0.0002088151
1237648720715383163 229.203190138622 -0.601855254463072 19.18297 17.37146 16.61024 16.19412 15.8811 0.1163201
1237648721251992485 228.559932138483 -0.158121573420845 23.19608 22.6939 20.76378 19.75185 19.34852 0.4892307
1237648721252057856 228.654210937487 -0.110073223558447 24.0099 22.51511 20.66774 19.60121 19.04026 0.5755573
1237648721252122980 228.883655191366 -0.00578246418305816 19.8494 17.95474 17.08801 16.69491 16.3924 0.09879823
1237648721252123286 228.928941438936 -0.131366131452455 26.44637 20.79516 20.01472 19.16425 18.63071 0.0001821481
1237648721252123729 228.884479069026 -0.0206802513794385 24.02188 22.62568 21.13652 20.10983 19.69202 0.6191408
1237648721252188277 228.965466156939 -0.179646670448408 18.76999 17.40533 16.87058 16.56079 16.3509 0.05085623
1237648721252254109 229.157756744915 -0.0245107861773106 19.54691 18.2513 17.79374 17.53473 17.30529 0.05178288
1237648721252254148 229.179256192884 -0.161205370615394 19.26846 18.12389 17.72702 17.47227 17.25343 0.02852145
1237648721252254975 229.18373572597 -0.128445864816457 22.22312 22.2486 20.65719 19.81809 19.21301 0.5793012
1237648721789059453 229.043507586993 0.350275408929373 20.29603 18.42798 17.37043 16.83652 16.43498 0.1209339
1237648721789060018 229.074871809019 0.349551006632563 22.13687 21.63942 20.0096 18.97108 18.57036 0.5645308
1237648704059998391 228.640303760497 -0.391359518707884 18.25175 16.61847 15.79085 15.34137 14.99639 0.05363998
1237648704059998583 228.611557900714 -0.368455897311185 19.56428 18.56402 18.13406 17.80355 17.66648 0.1179704
1237648704059998605 228.62528289674 -0.238282821751102 19.22388 18.00932 17.4994 17.16957 16.95008 0.08124371
1237648704060129571 228.855089036734 -0.32481171543864 20.86678 18.66315 17.64832 17.2192 16.83788 0.09964198
1237648704060129648 228.912306605749 -0.211333166146629 19.93489 19.20602 18.63976 18.29036 18.05216 0.4354376
1237648704060129683 228.958681240744 -0.325494988463355 20.34123 18.38971 17.33888 16.91872 16.54559 0.1207226
1237648704060129781 228.961684909054 -0.402909095525585 21.28963 19.05319 17.69407 17.17789 16.85657 0.2299115
1237648704060194870 229.027510546175 -0.261640848593303 25.20339 22.29701 20.25088 19.38234 18.9163 0.4854206
1237648704060196115 229.064697499996 -0.382696848373309 25.19156 21.95314 20.24799 19.27047 18.76336 0.5020059
1237648704060260455 229.203425081813 -0.349441414051403 25.91667 20.20739 18.56191 17.90333 17.35674 0.3113536
1237648704060260569 229.140775752709 -0.379919698972482 19.87155 18.4281 17.73733 17.3897 17.13317 0.05021417
1237648704060260959 229.261833413963 -0.332752688641211 21.87021 21.33061 20.25648 19.51509 19.11219 0.6320558
1237648704060326173 229.317756951931 -0.273358840786703 19.98038 18.13156 17.1429 16.71273 16.34435 0.1188628
1237648704060326281 229.392326130112 -0.365648314066867 20.67076 18.92526 17.81862 17.35244 17.01407 0.1694146
1237648704060326795 229.352206094977 -0.404186459376311 23.47412 22.30467 20.39471 19.25493 18.82256 0.63353
1237648704060392123 229.446677102917 -0.270212203213075 23.84136 22.31019 20.60381 19.62132 19.07443 0.5039907
1237648704596869252 228.633562760889 0.178315171971999 23.42571 24.06853 21.04148 19.90318 19.6713 0.6439748
1237648704596869401 228.594809861755 0.174341502003721 18.88092 17.71599 17.36939 17.09106 17.08785 0.05223256
1237648704596869800 228.529989591529 0.0162958690194403 22.59067 21.49171 19.57587 18.86475 18.5251 0.3837818
1237648704596870537 228.590246107312 0.00784361572072588 24.64096 23.2364 21.16723 20.24131 19.95321 0.5159153
1237648704596934967 228.692890031727 0.05621389744309 19.70445 18.04722 17.13954 16.66206 16.28711 0.07162303
1237648704596935788 228.78037521165 0.0184668800908968 22.37906 21.47435 20.55597 19.82153 19.25404 0.716255
1237648704597000423 228.822642407698 0.111189019883114 21.87337 18.90039 17.69289 17.16896 16.81886 0.1708893
1237648704597000523 228.895038841783 0.0413343518976596 20.60464 18.56423 17.61076 17.17293 16.81778 0.09869839
1237648704597001124 228.883916850073 0.123903985734196 25.14249 22.56635 20.85656 19.60327 19.07628 0.6398531
1237648704597001707 228.894918221323 0.0834749253442314 26.2423 21.94456 20.49749 19.37899 18.77349 0.646753
1237648704597066027 229.097863354172 0.102536083726398 20.33041 18.50009 17.33692 17.15387 16.58614 0.1153173
1237648704597066258 229.033608696934 0.0336483118658532 20.1247 18.16798 17.12033 16.6708 16.30512 0.121459
1237648704597066332 229.062959527275 0.0748889510887159 20.67365 18.76499 17.70308 17.25653 16.88702 0.1200855
1237648704597066442 229.106054833931 0.0604625769799889 20.42967 18.50462 17.46504 17.03818 16.67697 0.1166488
1237648704597066454 229.109082073157 0.118755823738409 19.61865 18.33277 17.60333 17.18283 16.91655 0.1167859
1237648704597067048 229.048675412895 0.111844811702198 24.75325 21.43366 19.47091 18.71796 18.38173 0.4551872
1237648704597132331 229.184897455313 0.179990291361145 21.79 20.31725 18.55915 17.92945 17.41381 0.3851752
1237648704597197092 229.290626242966 0.206672007959468 20.36 18.31162 17.27707 16.84442 16.49414 0.1209469
1237648720715186813 228.772470801748 -0.578527306614124 22.03853 22.64315 21.44977 20.35548 19.77263 0.638986
1237648720715252050 228.848419225279 -0.545420964619229 20.13813 18.12508 17.21331 16.77483 16.4583 0.07839098
1237648720715252139 228.905080149274 -0.426409237836219 19.19385 17.82968 17.11814 16.7246 16.49212 0.09253301
1237648720715252541 228.833400687774 -0.483271956597669 25.71405 23.38623 20.54899 19.248 18.75074 0.6411445
1237648720715317311 228.995249318625 -0.487987913320622 24.81163 22.01692 19.67371 18.98903 18.33215 0.4663627
1237648720715317500 228.994180155914 -0.579212784949768 20.06929 18.38419 17.42097 16.957 16.57967 0.1003154
1237648720715317588 229.068919796622 -0.580288449451683 19.27866 17.25513 16.2239 15.78632 15.40086 0.1169451
1237648720715318463 228.953063836862 -0.490526445189722 23.77279 23.85963 21.72903 20.29394 19.86531 0.6419294
1237648720715382814 229.101209239421 -0.439049914657106 19.78533 18.31411 17.67833 17.34027 17.04831 0.08360377
1237648720715383119 229.185790070702 -0.616054996917387 19.17142 17.70277 16.99043 16.57105 16.31971 0.1124701
1237648720715383251 229.174880709549 -0.552914964949797 22.79526 19.61842 18.16845 17.61259 17.24413 0.2305187
1237648720715383273 229.224488539034 -0.536322162345938 24.56377 19.66305 18.17439 17.61251 17.18772 0.2340507
1237648720715448501 229.346792203602 -0.452564444010759 18.24091 17.69736 17.22432 16.78676 16.64886 0.1216584
