objid ra dec u g r i z redshift
1237668591339438196 198.85499212696 18.0281453174601 20.00044 18.30565 17.34036 16.91203 16.56656 0.1069575
1237668624628908521 198.971307225309 17.3112681795486 24.72116 22.27451 20.64892 19.57104 19.13479 0.5403135
1237668625702781543 199.360290136048 18.0371971898238 23.80433 21.66572 20.61057 19.71593 19.29104 0.6397004
1237668591339438816 198.83990264613 18.0460536401081 23.47984 23.0448 21.35306 20.16176 19.66825 0.5703933
1237668591339438846 198.864206668606 18.0426122366458 26.13362 23.17593 21.12189 19.98839 19.58025 0.6155666
1237668591339700342 199.522970168514 17.8418999252084 19.17185 17.57845 16.71365 16.25569 15.91992 0.1082948
1237668624628908461 198.955794152016 17.3158131599535 23.13343 22.19032 20.29812 19.12957 18.66055 0.694476
1237668624628973676 199.184556856727 17.2885015154573 19.48053 17.48822 16.47104 16.25979 15.70237 0.1082385
1237668625165975750 199.555208001804 17.7964873596948 20.34964 18.53273 17.60944 17.14344 16.81711 0.107438
1237668625702650760 198.994558289531 18.0976903329706 24.04103 23.66709 21.63734 20.48022 19.67241 0.6404043
1237668590802501784 198.657406585577 17.6348078775403 20.98806 19.29952 17.97346 17.35975 16.8689 0.1467611
1237668590802501805 198.724167250721 17.5540453059472 21.33514 19.81264 18.24813 17.68254 17.37012 0.2918955
1237668590802502162 198.711709856768 17.5211498723763 22.31266 21.51547 20.36954 19.68664 19.14579 0.5227677
1237668590802567331 198.84351657936 17.6012410007916 19.61563 18.46891 17.82879 17.48988 17.29776 0.1077732
1237668590802567569 198.786439477888 17.5756025643463 23.46979 22.70684 21.12435 20.07932 19.57285 0.6007817
1237668590802567905 198.79592183132 17.6435955542775 24.84247 21.97831 20.48795 19.40811 18.78254 0.600344
1237668590802632772 198.933639298342 17.486253366698 19.61357 18.57245 18.2357 17.99198 17.88269 0.06182766
1237668590802698344 199.092400971937 17.4598434495414 19.40721 18.20378 17.69229 17.37095 17.14894 0.06208856
1237668590802763965 199.330403761323 17.516565348642 24.35633 20.5212 18.92302 18.27905 17.8537 0.3956885
1237668590802764460 199.36770110103 17.570082927751 23.87998 20.4332 18.74195 18.06721 17.74151 0.338263
