objid ra dec u g r i z redshift
1237655469136347269 229.651832139435 1.98591995760107 18.51742 17.52746 17.1934 17.13925 17.12582 0.0001964267
1237655469136282758 229.544628641275 1.98287052241145 23.98672 23.88642 21.20039 20.12137 20.17045 0.1640993
1237651736315430040 229.403102989527 1.76350745997286 22.21184 23.28116 21.75086 20.38023 20.06991 0.6403103
1237651736852496878 229.801407692446 2.12407011817137 23.52423 20.25158 18.5234 17.8893 17.59026 0.3332214
1237651737389171115 229.435453914888 2.42557175472124 19.87247 18.09038 17.07377 16.63724 16.2837 0.1118121
1237651737389302087 229.648668047699 2.47615519601541 20.13946 18.44656 17.4775 17.03124 16.71194 0.1475379
1237651737389302494 229.63144285001 2.47625961357604 23.87601 21.33323 19.48114 18.81186 18.36045 0.3514622
1237655469136150771 229.270176874292 1.93477117495032 20.86859 18.81537 17.8452 17.40992 17.0715 0.1031417
1237655469673087413 229.409172114178 2.40741766077109 19.98481 17.90683 16.83986 16.38549 16.01922 0.1084344
1237655469673349740 229.958745660726 2.32036907104464 23.22612 20.96363 19.29389 18.65034 18.16076 0.3172885
1237651736315429185 229.376959359925 1.66524184718238 19.59752 18.27678 17.54422 17.10234 16.81095 0.1218028
1237651736315429254 229.336168266949 1.69634239404328 19.73102 18.37697 17.72112 17.37824 17.12641 0.1049189
1237651736315429870 229.431800773017 1.75208494228198 22.74662 21.07836 19.86165 19.05704 18.53225 0.000110887
1237651736315495449 229.444146723136 1.74008064002492 24.48446 23.08969 21.20068 20.02846 19.55698 0.6361776
1237651736315561251 229.599174812481 1.72040164810954 23.542 23.51625 21.26422 20.18929 19.40296 0.6416545
1237651736315691079 229.909338171177 1.65082366687852 20.83301 18.89678 18.00266 17.54666 17.15934 0.1139452
1237651736852300711 229.379708518715 2.18067672784197 19.43442 18.0241 17.58299 17.30392 17.31574 0.05772248
1237651736852497070 229.808259485583 2.11989231688308 18.96274 17.98409 17.20747 16.5709 17.09065 0.09682143
1237651736852498219 229.812898616109 2.09843960038776 19.03748 18.08061 17.81208 17.73536 17.72564 0.0001401194
1237651736852498757 229.878238124674 2.10619573482554 19.20502 18.15299 17.68535 17.3042 17.11114 0.07169756
